Table.Name;Field.Name;DataType
PropertyClassificationNode;pcln_Label;String
PropertyClassificNodeLabel;ml54_Label;INT64
PropertyClassificNodeLabel;ml54_Language;INT64
PropertyClassificNodeLabel;ml54_Translation;String
PropertyClassificNodeLabel;ml54_Version;Positive integer
PropertyClassificationNode;pcln_Property;INT64
Municipality;mncp_CreationUser;INT64
Object;obj_CreationUser;INT64
Object;obj_LastUpdateUser;INT64
Lot;lot_Id;INT64
Lot;lot_CreationUser;INT64
Lot;lot_LastUpdateUser;INT64
Lot;lot_Version;Positive integer
Lot;lot_Object;INT64
Lot;lot_InternalId;String
Lot;lot_ExternalId;String
Lot;lot_ProductionDate;Date
Result;rslt_Status;Enumerated
Animal;anml_Id;INT64
Animal;anml_CreationUser;INT64
Animal;anml_LastUpdateUser;INT64
Animal;anml_Version;Positive integer
Animal;anml_Object;INT64
Animal;anml_Name;String
Animal;anml_Owner;INT64
Result;rslt_Property;INT64
Order;ord_Id;INT64
Order;ord_CreationUser;INT64
Order;ord_LastUpdateUser;INT64
Order;ord_Version;Positive integer
ObjectTemplate;objt_CreationUser;INT64
ObjectTemplate;objt_LastUpdateUser;INT64
Order;ord_InternalId;String
Order;ord_Issuer;INT64
Order;ord_Agent;INT64
Order;ord_ExternalId;String
Organization;org_CreationUser;INT64
Organization;org_LastUpdateUser;INT64
Person;prsn_CreationUser;INT64
Person;prsn_LastUpdateUser;INT64
Order;ord_Object;INT64
Property;prop_CreationUser;INT64
Property;prop_LastUpdateUser;INT64
Order;ord_Encounter;INT64
Norm;norm_Id;INT64
Norm;norm_CreationUser;INT64
Norm;norm_LastUpdateUser;INT64
Norm;norm_Version;Positive integer
Norm;norm_Property;INT64
Norm;norm_ObjectTemplate;INT64
Order;ord_Description;String
Norm;norm_Severity;Positive integer
Material;mat_IsRootMaterial;Logical
Norm;norm_InternalComment;INT64
Order;ord_ReceiptTime;DateTime
Order;ord_DueTime;DateTime
Order;ord_Appraisal;String
OrderAppraisal;ml55_Appraisal;INT64
OrderAppraisal;ml55_Language;INT64
OrderAppraisal;ml55_Translation;String
OrderAppraisal;ml55_Version;Positive integer
Order;ord_Department;INT64
Order;ord_ClosureUser;INT64
Order;ord_ClosureTime;DateTime
Person;prsn_SpouseLastName;String
Property;prop_Unit;INT64
Station;stn_CreationUser;INT64
Station;stn_LastUpdateUser;INT64
Stay;stay_CreationUser;INT64
Stay;stay_LastUpdateUser;INT64
Unit;unit_CreationUser;INT64
Unit;unit_LastUpdateUser;INT64
Ward;ward_CreationUser;INT64
Ward;ward_LastUpdateUser;INT64
Stay;stay_StartTime;DateTime
Stay;stay_EndTime;DateTime
SpecificSite;ssit_Organization;INT64
SpecificSite;ssit_ObjectInternalId;INT64
SpecificSite;ssit_PersonInternalId;INT64
SpecificSite;ssit_DayUnit;INT64
Norm;norm_Enabled;Logical
Norm;norm_AgeUnit;INT64
Norm;norm_Sex;Enumerated
PropertyClassificationNode;pcln_PageBreakBefore;Logical
Specimen;spmn_ReceiptUser;INT64
Specimen;spmn_DiscontinuationUser;INT64
Specimen;spmn_ExternalComment;String
SpecimenExternalComment;ml59_ExternalComment;INT64
SpecimenExternalComment;ml59_Language;INT64
